Session ID,First Token Time (ms),Other Token Times (ms),Total Time (ms)
e1cb4633-b4a2-48a6-bf49-135bed8c1856,6732.31,1672.81;2827.91;6066.51;16.49;3197.92;18.82;6388.99;1712.57;4299.83;5434.10;12374.10;3961.27;3261.57;6241.61;4333.90;3073.85;3351.08;3341.41;1549.55;12.93;26.94;61.52;95.24;132.13;38.17;77.06;85.85;337.62;30.62;79.62;400.46;675.41;6.49;9.18;151.82;49.82;814.46;68.79;178.40;125.20;140.93;210.47;192.29;307.52;145.73;290.13;11.35;338.10;20.59;148.26;115.61;295.94;6.49;857.01;307.72;11.78;154.21;304.52;177.73;13.73;304.84;10.95;120.45;291.57;13.41;271.44;59.13;233.25;56.44;190.98;157.94;160.89;120.23;189.41;130.42;170.98;157.32;272.30;12.85;316.29;30.78;101.94;198.43;125.64;200.31;102.71;326.99;19.05;424.45;24.62;148.32;288.37;14.36;294.96;6.16;197.21;322.11;96.45;18.91;181.69;122.49;4990.47;18.05;6.90;200.41;304.59;205.16;17.31;294.03;27.59;103.65;194.69;172.76;320.37;24.43;169.55;134.17;219.60;121.42;296.10;309.52;18.41;291.53;14.54;394.14;16.73;296.79;10.14,107375.95
765561ff-5acb-4d55-8821-db3728cd88ce,4715.70,3415.14;3209.40;7521.60;5602.34;3282.88;3533.18;2818.95;4327.81;1763.58;1568.66;1642.17;2554.82;5550.80;4302.25;5434.03;12375.69;3959.70;3261.43;6241.52;4333.97;3073.89;3351.21;3340.92;1549.73;13.32;26.65;61.53;95.33;133.67;37.77;75.84;85.97;337.50;30.65;79.64;400.46;675.48;6.34;10.08;151.14;49.78;814.49;69.90;177.29;125.04;141.10;210.33;191.86;308.04;146.88;172.09;129.21;181.54;176.15;146.00;117.98;183.10;119.28;856.96;115.53;203.88;141.04;190.03;304.04;15.19;296.70;19.15;120.46;185.69;119.31;271.43;59.22;233.24;58.13;189.19;157.97;162.53;117.75;191.77;128.69;173.01;155.45;155.67;130.61;202.86;142.64;101.77;200.25;124.53;199.94;103.08;146.11;201.27;116.20;331.50;147.89;184.64;118.51;294.98;6.17;197.16;100.65;316.92;19.88;181.28;122.99;4978.01;29.19;8.13;202.39;186.96;318.44;19.25;103.80;217.43;106.09;193.15;172.41;186.46;158.17;165.47;138.93;219.47;121.25;296.15;308.00;19.92;290.81;14.53;141.13;270.04;73.32;234.27;4351.26,130278.41
a5ade685-8e2d-45f2-baca-e7bcaa96c363,10731.64,5607.02;3278.40;3531.95;2820.82;4326.42;1752.16;13.49;3195.68;19.09;6388.82;5977.19;3862.92;1609.14;12372.96;3959.78;3261.56;6241.57;4333.87;3073.88;3351.12;3340.99;1549.75;15.12;24.93;61.48;95.30;133.55;37.80;75.96;85.91;337.58;30.63;79.65;400.47;675.45;6.48;11.69;149.32;49.79;814.40;69.90;177.37;125.00;141.14;210.45;192.08;307.68;146.82;288.81;12.46;336.86;20.99;149.06;114.83;295.98;6.46;856.97;307.42;12.11;155.01;303.64;177.07;14.45;297.66;18.16;120.43;291.10;13.90;271.43;291.13;0.04;57.70;190.94;157.94;262.44;18.29;302.90;17.22;300.90;27.43;271.95;14.48;313.63;31.83;295.45;5.39;125.59;288.83;14.19;329.42;16.64;423.74;25.29;332.79;103.60;14.66;294.96;6.16;197.18;321.83;96.34;19.32;285.62;18.57;4990.53;24.89;4.76;198.76;301.33;204.25;18.17;293.90;27.50;294.20;4.56;172.68;319.81;24.94;296.69;7.27;219.57;121.34;410.56;194.21;19.30;291.37;14.52;398.07;12.94;301.81;5.23;4351.32;39.37;6.06;4870.62;1644.44,132036.74
1170ba01-97a0-49ac-aad1-29d600a142fd,4241.51,3304.62;21.75;1561.26;3351.17;1528.93;3181.44;3349.15;4680.78;8392.18;3277.20;3456.22;4491.86;12.00;6069.58;10.67;3197.94;19.59;6388.40;5977.53;3863.17;1609.31;12372.59;3959.86;3261.31;6241.55;4334.00;3073.81;3351.34;3340.85;1549.69;13.39;26.61;61.56;95.36;133.66;37.85;75.70;86.00;337.51;30.64;79.66;400.47;675.43;6.46;12.26;148.96;49.78;814.54;69.82;177.22;125.14;141.11;210.14;191.95;308.13;146.94;285.65;15.65;336.38;21.26;149.25;114.75;295.99;6.21;857.12;305.86;12.93;155.95;301.43;175.75;17.74;295.68;20.21;120.45;290.34;14.68;270.46;213.81;79.55;58.25;189.17;157.97;262.44;17.55;303.30;17.38;300.75;27.77;267.07;19.18;313.10;32.35;295.65;5.43;125.54;288.80;14.21;328.86;17.18;423.65;25.39;332.58;103.21;15.24;294.98;6.19;196.99;321.35;90.80;24.53;286.28;18.78;4990.69;24.68;2.91;199.60;302.19;202.44;19.82;293.86;27.30;106.04;193.44;172.38;317.95;26.38;290.03;14.71;219.42;120.73;411.03;192.48;21.01;290.18;14.91;398.83;12.53;299.94;7.81;4351.11;39.48;6.67;4869.67;1644.89;3356.16;17.56;3280.13,155785.92
4116286c-52c7-47bf-bd1e-d7dc4d3e539a,14875.96,2952.16;5208.78;5617.44;3037.03;3329.74;3251.05;3206.10;21.99;27.28;61.75;95.00;133.55;30.40;83.54;85.75;337.96;30.25;79.60;400.53;675.27;6.69;5.18;155.52;50.01;804.77;79.27;177.65;125.05;140.97;210.68;180.76;312.01;153.59;179.93;110.59;191.99;176.51;144.58;119.43;181.40;120.90;857.08;119.21;189.36;151.59;193.94;124.19;191.46;113.48;202.21;110.78;198.77;104.06;193.04;149.28;152.17;137.56;191.13;132.41;188.96;96.89;211.56;109.41;192.41;129.07;180.52;130.70;201.91;145.98;101.46;192.82;113.22;224.04;80.42;163.67;198.88;119.46;329.53;148.61;186.10;116.36;180.36;114.79;185.30;128.05;213.11;114.47;181.98;100.26;5001.15;11.57;24.61;200.59;186.55;118.58;222.16;100.14;222.18;104.35;187.92;177.55;185.92;159.76;168.96;127.71;215.73;107.99;319.57;115.53;212.91;94.92;211.39;140.21;254.67;87.54;234.53;4352.08;26.85;12.45;4860.69;16.17;1659.21;3358.78;3280.13;1579.93,85321.55
181abd3f-731c-433e-8c57-989a3fe6bde9,7220.57,6241.89;4333.95;3073.92;3350.59;3341.85;1549.39;12.65;27.31;61.80;94.97;133.47;37.62;76.40;85.76;338.03;30.17;79.53;400.62;675.20;6.74;4.63;155.97;50.10;814.16;69.77;178.03;124.68;141.02;210.68;192.01;307.54;146.86;181.42;120.20;181.57;175.74;144.64;119.37;182.62;119.72;857.05;120.66;198.70;141.27;193.87;306.12;9.21;309.05;6.63;120.42;189.15;115.71;271.48;59.20;232.99;56.73;191.14;157.64;163.84;117.38;191.02;128.78;173.09;155.12;155.37;132.03;201.36;144.34;107.26;192.16;125.67;206.21;96.75;147.79;198.39;120.52;328.51;149.06;186.82;115.19;180.42;120.66;197.42;110.36;309.24;18.05;182.32;121.43;4980.02;28.39;7.33;203.25;186.41;327.13;11.24;102.35;219.89;104.41;192.47;172.89;186.33;159.72;168.91;133.32;219.69;98.21;319.56;312.12;16.58;97.45;208.85;140.37;269.59;72.19;234.49;4352.17;26.95;12.36;4858.72;19.05;1658.26;3358.93;3279.97;1579.87;1520.00;1633.62,74609.22
306b49cf-1644-4b61-ba25-7787ccb9a4c9,3212.81,16.94;6387.17;1715.84;4298.53;5434.66;12373.64;3959.70;3261.51;6243.22;4332.26;3075.56;3349.61;3342.95;1547.59;13.48;26.41;61.66;95.36;133.47;38.05;77.40;84.17;339.33;28.90;79.62;400.58;674.06;9.38;9.26;150.34;51.15;813.25;69.75;178.71;123.57;142.45;208.44;194.37;307.58;145.40;284.41;17.06;332.26;25.27;145.87;118.11;297.19;4.97;857.16;302.01;16.58;156.28;180.16;304.04;12.04;305.90;8.64;120.48;294.06;10.97;272.58;59.02;233.18;56.62;189.77;158.00;162.01;120.28;189.30;129.02;172.38;156.14;266.61;19.60;312.54;35.09;99.36;200.61;124.62;199.41;103.60;145.99;201.11;115.86;332.08;145.96;298.82;6.21;296.27;4.99;198.35;318.75;100.44;18.31;181.93;120.94;4977.60;29.75;7.81;201.94;304.95;197.84;24.51;294.91;23.86;105.34;195.52;171.18;322.91;21.14;172.07;133.10;219.40;120.36;296.69;312.47;17.18;291.87;11.49;142.91;268.69;73.14;234.71;4351.03;26.86;16.95;4871.61;5.42;1654.44;3359.03;3280.09;1580.49;1520.21;1642.93;20.36,108072.13
3ce5827b-760a-47a2-85fd-616df170db4e,6424.30,3341.85;1549.38;12.62;27.33;61.95;94.91;133.48;30.47;83.49;85.92;337.97;30.04;79.54;400.73;675.03;6.88;4.89;155.57;50.22;814.04;69.74;180.18;123.00;140.65;210.61;183.42;309.50;153.67;197.54;104.08;183.92;173.24;144.66;119.39;183.13;119.22;857.05;121.14;198.13;143.29;192.58;123.45;191.27;121.92;193.74;111.09;198.68;115.42;184.99;145.84;151.94;137.76;191.10;157.57;167.31;113.91;191.61;128.19;174.01;154.20;156.93;130.65;200.20;145.38;107.86;191.45;125.73;206.32;80.81;165.14;196.88;121.40;327.64;150.72;185.81;114.56;180.51;120.55;197.43;110.47;213.35;113.88;182.44;105.53;4996.47;27.71;7.42;200.50;189.86;115.57;222.12;100.49;221.86;104.78;187.27;177.63;187.23;159.25;168.88;132.73;210.71;110.93;316.42;116.13;212.36;97.40;209.15;140.95;268.59;72.21;234.26;4352.27;27.37;12.08;4860.54;16.18;1659.57;3358.88;3279.85;1579.62;1520.05;1633.60;19.75,56834.36
a2f8571b-c8cc-4404-99d2-4ca0808605c9,13130.39,1678.40;3458.01;4494.69;4325.64;1752.22;13.31;3195.75;18.99;6388.88;5977.26;3862.89;1609.09;12373.01;3959.72;3261.56;6241.60;4333.86;3073.87;3351.11;3341.15;1549.71;14.96;24.98;61.50;95.27;133.58;37.80;75.93;85.91;337.60;30.64;79.63;400.47;675.43;6.49;11.65;149.36;49.81;814.46;69.83;177.37;125.12;141.02;210.46;192.29;307.46;146.82;288.86;12.42;337.02;20.85;149.00;114.87;295.94;6.50;856.98;307.46;12.06;155.01;303.69;177.36;14.12;298.05;17.75;120.45;291.45;13.54;271.44;291.12;0.03;57.70;190.94;157.94;262.49;18.40;302.81;17.21;300.88;27.45;271.93;14.56;313.85;31.89;295.01;5.42;125.59;288.89;14.14;329.54;16.54;423.77;25.26;332.95;103.48;14.63;294.96;6.16;197.19;321.87;96.46;19.15;285.82;18.37;4990.49;24.93;2.75;200.76;301.36;204.76;17.65;293.94;27.53;105.59;193.04;172.69;319.89;24.92;296.70;7.19;219.58;121.37;410.62;194.21;19.22;291.42;14.54;398.05;12.90;296.78;10.23;4351.33;39.37;6.06;4870.64;1644.45;3357.55;16.38;3280.11;1580.37;1527.71;1635.18;20.25;3798.85,140701.12
44aff8d6-c5d6-44ff-8a05-91e8d9177c51,6455.32,15.54;24.08;59.65;96.40;127.17;48.12;72.81;85.22;335.55;33.56;79.33;87.94;323.29;673.00;9.00;63.76;95.03;857.02;7.28;69.83;181.61;120.73;142.91;207.91;194.62;307.53;145.30;284.97;16.32;331.89;25.74;149.27;114.74;297.22;4.90;857.20;302.15;16.52;156.08;305.64;182.82;6.44;311.17;4.75;120.44;294.99;10.04;270.44;213.81;80.84;57.78;188.36;157.98;262.19;20.49;300.33;17.61;304.34;24.14;266.75;19.61;312.82;35.56;292.63;6.67;124.38;288.53;14.48;328.41;19.12;421.62;25.94;338.11;107.45;5.46;296.55;4.63;198.82;319.26;90.61;27.83;282.55;19.64;4990.68;24.62;165.94;36.60;305.52;196.70;22.21;293.34;27.83;295.14;4.35;172.45;323.68;20.49;289.68;15.25;219.39;120.53;410.96;199.71;14.00;293.82;11.17;398.67;12.77;299.80;8.04;4351.07;39.47;9.22;4866.96;1659.89;3358.83;1443.68;3403.00;1534.12;7.82;1635.02;20.34;3798.22;13.78;20.10,55895.19
